Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
FSLY,FSLY,"Fastly, Inc. - Class A Common Stock",NASDAQ,Q,N,N,2873340000,Technology,Computer Software: Prepackaged Software
PK,PK,Park Hotels & Resorts Inc. Common Stock ,NYSE, ,N,N,2869406149,Consumer Discretionary,Hotels/Resorts
OSW,OSW,OneSpaWorld Holdings Limited - Common Shares,NASDAQ,S,N,N,2866779251,Consumer Discretionary,Hotels/Resorts
PENN,PENN,"PENN Entertainment, Inc. - Common Stock",NASDAQ,Q,N,N,2858894405,Consumer Discretionary,Hotels/Resorts
CSAN,CSAN,Cosan S.A. ADS,NYSE, ,N,N,2855931071,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
EXPO,EXPO,"Exponent, Inc. - Common Stock",NASDAQ,Q,N,N,2850543320,Consumer Discretionary,Professional Services
PDFS,PDFS,"PDF Solutions, Inc. - Common Stock",NASDAQ,Q,N,N,2826013961,Technology,Computer Software: Prepackaged Software
DGII,DGII,Digi International Inc. - Common Stock,NASDAQ,Q,N,N,2825779815,Telecommunications,Computer Communications Equipment
MMS,MMS,"Maximus, Inc. Common Stock",NYSE, ,N,N,2824569915,Consumer Discretionary,Business Services
SOUN,SOUN,"SoundHound AI, Inc. - Class A Common Stock",NASDAQ,G,N,N,2800019538,Technology,Computer Software: Prepackaged Software
FRSH,FRSH,Freshworks Inc. - Class A Common Stock,NASDAQ,Q,N,N,2797513770,Technology,Computer Software: Prepackaged Software
SBLK,SBLK,Star Bulk Carriers Corp. - Common Shares,NASDAQ,Q,N,N,2784907846,Consumer Discretionary,Marine Transportation
BWLP,BWLP,BW LPG Limited Common Shares,NYSE, ,N,N,2776285260,Consumer Discretionary,Transportation Services
CENT,CENT,Central Garden & Pet Company - Common Stock,NASDAQ,Q,N,N,2774388341,Consumer Discretionary,Consumer Specialties
IHS,IHS,IHS Holding Limited Ordinary Shares,NYSE, ,N,N,2764694869,Telecommunications,Telecommunications Equipment
UNFI,UNFI,"United Natural Foods, Inc. Common Stock",NYSE, ,N,N,2763909124,Consumer Discretionary,Food Distributors
RUM,RUM,RUM Group Inc. - Class A Common Stock,NASDAQ,G,N,N,2763470254,Technology,Computer Software: Programming Data Processing
NIQ,NIQ,NIQ Global Intelligence plc Ordinary Shares,NYSE, ,N,N,2759524798,Technology,Computer Software: Programming Data Processing
BCC,BCC,"Boise Cascade, L.L.C. Common Stock",NYSE, ,N,N,2731779206,Consumer Discretionary,RETAIL: Building Materials
UAA,UAA,"Under Armour, Inc. Class A Common Stock",NYSE, ,N,N,2724216060,Consumer Discretionary,Apparel
WK,WK,Workiva Inc. Class A Common Stock,NYSE, ,N,N,2722348989,Technology,Computer Software: Prepackaged Software
MGNI,MGNI,"Magnite, Inc. - Common Stock",NASDAQ,Q,N,N,2718220757,Technology,Computer Software: Programming Data Processing
KC,KC,Kingsoft Cloud Holdings Limited - American Depositary Shares,NASDAQ,Q,N,N,2709295459,Technology,Computer Software: Prepackaged Software
ATEN,ATEN,"A10 Networks, Inc. Common Stock",NYSE, ,N,N,2689851818,Telecommunications,Computer Communications Equipment
CTOS,CTOS,"Custom Truck One Source, Inc. Common Stock",NYSE, ,N,N,2685981616,Consumer Discretionary,Diversified Commercial Services
SAH,SAH,"Sonic Automotive, Inc. Common Stock",NYSE, ,N,N,2679711893,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
HIMX,HIMX,"Himax Technologies, Inc. - American depositary shares, each of which represents two ordinary shares.",NASDAQ,Q,N,N,2675693521,Technology,Semiconductors
BRZE,BRZE,"Braze, Inc. - Class A Common Stock",NASDAQ,Q,N,N,2658755840,Technology,Computer Software: Prepackaged Software
UA,UA,"Under Armour, Inc. Class C Common Stock",NYSE, ,N,N,2651740828,Consumer Discretionary,Apparel
VC,VC,Visteon Corporation - Common Stock,NASDAQ,Q,N,N,2648313823,Consumer Discretionary,Auto Parts:O.E.M.
TRMD,TRMD,TORM plc - Class A Common Stock,NASDAQ,Q,N,N,2640730344,Consumer Discretionary,Marine Transportation
STNE,STNE,StoneCo Ltd. - Class A Common Share,NASDAQ,Q,N,N,2636593970,Technology,EDP Services
BGSI,BGSI,Boyd Group Services Inc. Common Shares,NYSE, ,N,N,2633280656,,
PAGS,PAGS,PagSeguro Digital Ltd. Class A Common Shares,NYSE, ,N,N,2630633266,Technology,EDP Services
AERO,AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",NYSE, ,N,N,2626261362,Consumer Discretionary,Air Freight/Delivery Services
ABM,ABM,ABM Industries Incorporated Common Stock,NYSE, ,N,N,2591620034,Consumer Discretionary,Diversified Commercial Services
ASTH,ASTH,Astrana Health Inc. - Common Stock,NASDAQ,S,N,N,2585789770,Consumer Discretionary,Professional Services
HOG,HOG,"Harley-Davidson, Inc. Common Stock",NYSE, ,N,N,2574862667,Consumer Discretionary,Motor Vehicles
PTON,PTON,"Peloton Interactive, Inc. - Common Stock",NASDAQ,Q,N,N,2558982277,Consumer Discretionary,Recreational Games/Products/Toys
WHR,WHR,Whirlpool Corporation Common Stock,NYSE, ,N,N,2555327430,Consumer Discretionary,Consumer Electronics/Appliances
GRND,GRND,Grindr Inc. Common Stock,NYSE, ,N,N,2553922289,Technology,Computer Software: Programming Data Processing
WOLF,WOLF,"Wolfspeed, Inc. Common Stock New",NYSE, ,N,N,2507653873,Technology,Semiconductors
BLBD,BLBD,Blue Bird Corporation - Common Stock,NASDAQ,G,N,N,2498814667,Consumer Discretionary,Construction/Ag Equipment/Trucks
WIX,WIX,Wix.com Ltd. - Ordinary Shares,NASDAQ,Q,N,N,2497502943,Technology,Computer Software: Programming Data Processing
KD,KD,"Kyndryl Holdings, Inc. Common Stock",NYSE, ,N,N,2494049622,Technology,EDP Services
INOD,INOD,Innodata Inc. - Common Stock,NASDAQ,G,N,N,2468091958,Technology,EDP Services
CMPR,CMPR,Cimpress plc - Ordinary Shares,NASDAQ,Q,N,N,2464403553,Consumer Discretionary,Publishing
WLY,WLY,"John Wiley & Sons, Inc. Common Stock",NYSE, ,N,N,2462384821,Consumer Discretionary,Books
NYAX,NYAX,Nayax Ltd. - Ordinary Shares,NASDAQ,Q,N,N,2447400864,Technology,Computer Software: Prepackaged Software
CENTA,CENTA,Central Garden & Pet Company - Class A Common Stock Nonvoting,NASDAQ,Q,N,N,2425869102,Consumer Discretionary,Consumer Specialties
WU,WU,Western Union Company (The) Common Stock,NYSE, ,N,N,2405750301,Consumer Discretionary,Business Services
SHAK,SHAK,"Shake Shack, Inc. Class A Common Stock",NYSE, ,N,N,2396620806,Consumer Discretionary,Restaurants
BRUN,BRUN,Boost Run Inc. - Class A Common Stock,NASDAQ,G,N,N,2384046838,Technology,EDP Services
PAYO,PAYO,Payoneer Global Inc. - Common Stock,NASDAQ,G,N,N,2383624088,Consumer Discretionary,Business Services
CALX,CALX,"Calix, Inc Common Stock",NYSE, ,N,N,2380355399,Consumer Discretionary,Telecommunications Equipment
AVPT,AVPT,"AvePoint, Inc. - Class A Common Stock",NASDAQ,Q,N,N,2376712767,Technology,Computer Software: Prepackaged Software
WLYB,WLYB,"John Wiley & Sons, Inc. Common Stock",NYSE, ,N,N,2375077010,Consumer Discretionary,Books
DNOW,DNOW,DNOW Inc. Common Stock,NYSE, ,N,N,2367621412,Consumer Discretionary,Oil and Gas Field Machinery
CMCM,CMCM,"Cheetah Mobile Inc. American Depositary Shares, each representing fifty (50) Class A Ordinary Shares",NYSE, ,N,N,2353775745,Technology,Computer Software: Prepackaged Software
MCRI,MCRI,"Monarch Casino & Resort, Inc. - Common Stock",NASDAQ,Q,N,N,2336013801,Consumer Discretionary,Hotels/Resorts
VVX,VVX,"V2X, Inc. Common Stock",NYSE, ,N,N,2334489183,Consumer Discretionary,Diversified Commercial Services
ALRM,ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAQ,Q,N,N,2310798438,Technology,Computer Software: Prepackaged Software
DRVN,DRVN,Driven Brands Holdings Inc. - Common Stock,NASDAQ,Q,N,N,2299486138,Consumer Discretionary,Automotive Aftermarket
CHA,CHA,"Chagee Holdings Limited - American Depositary Shares, each representing 1 Class A ordinary share",NASDAQ,Q,N,N,2292975179,Consumer Discretionary,Restaurants
VNET,VNET,"VNET Group, Inc. - American Depositary Shares",NASDAQ,Q,N,N,2288920810,Technology,Computer Software: Programming Data Processing
TNET,TNET,"TriNet Group, Inc. Common Stock",NYSE, ,N,N,2273800382,Consumer Discretionary,Business Services
RAMP,RAMP,"LiveRamp Holdings, Inc. Common Stock",NYSE, ,N,N,2261707276,Technology,EDP Services
IMOS,IMOS,ChipMOS TECHNOLOGIES INC. - American Depositary Shares,NASDAQ,Q,N,N,2248695773,Technology,Semiconductors
AIP,AIP,"Arteris, Inc.  - Common Stock",NASDAQ,G,N,N,2243496605,Technology,Semiconductors
DAC,DAC,Danaos Corporation Common Stock,NYSE, ,N,N,2227559236,Consumer Discretionary,Marine Transportation
ATHM,ATHM,"Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.",NYSE, ,N,N,2191702436,Technology,EDP Services
QUBT,QUBT,Quantum Computing Inc. - Common Stock,NASDAQ,S,N,N,2187689374,Technology,Computer Software: Prepackaged Software
IMAX,IMAX,Imax Corporation Common Stock,NYSE, ,N,N,2186527315,Consumer Discretionary,Industrial Machinery/Components
FUN,FUN,Six Flags Entertainment Corporation Common Stock New,NYSE, ,N,N,2176943965,Consumer Discretionary,Services-Misc. Amusement & Recreation
PLUS,PLUS,ePlus inc. - Common Stock,NASDAQ,Q,N,N,2176596253,Technology,Retail: Computer Software & Peripheral Equipment
BKE,BKE,"Buckle, Inc. (The) Common Stock",NYSE, ,N,N,2174063229,Consumer Discretionary,Clothing/Shoe/Accessory Stores
FBYD,FBYD,"Falcon's Beyond Global, Inc. - Class A Common Stock",NASDAQ,G,N,N,2172660439,Consumer Discretionary,Services-Misc. Amusement & Recreation
ALGT,ALGT,Allegiant Travel Company - Common Stock,NASDAQ,Q,N,N,2168225304,Consumer Discretionary,Air Freight/Delivery Services
MLCO,MLCO,Melco Resorts & Entertainment Limited - American Depositary Shares ,NASDAQ,Q,N,N,2143793866,Consumer Discretionary,Hotels/Resorts
DJT,DJT,Trump Media & Technology Group Corp. - Common Stock,NASDAQ,G,N,N,2143622629,Technology,Computer Software: Programming Data Processing
CPRI,CPRI,Capri Holdings Limited Ordinary Shares,NYSE, ,N,N,2138974977,Consumer Discretionary,Apparel
FLYW,FLYW,Flywire Corporation - Voting Common Stock,NASDAQ,Q,N,N,2135537919,Consumer Discretionary,Business Services
SHO,SHO,"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",NYSE, ,N,N,2133035042,Consumer Discretionary,Hotels/Resorts
JBLU,JBLU,JetBlue Airways Corporation - Common Stock,NASDAQ,Q,N,N,2131668263,Consumer Discretionary,Air Freight/Delivery Services
BTX,BTX,BlackRock Technology and Private Equity Term Trust Common Shares of Beneficial Interest,NYSE, ,N,N,2129239451,,
EZPW,EZPW,"EZCORP, Inc. - Class A Non-Voting Common Stock",NASDAQ,Q,N,N,2127298759,Consumer Discretionary,Other Specialty Stores
AIN,AIN,Albany International Corporation Common Stock,NYSE, ,N,N,2115800000,Consumer Discretionary,Textiles
SPSC,SPSC,"SPS Commerce, Inc. - Common Stock",NASDAQ,Q,N,N,2098865173,Technology,Computer Software: Prepackaged Software
TILE,TILE,"Interface, Inc. - Common Stock",NASDAQ,Q,N,N,2080733921,Consumer Discretionary,Home Furnishings
TGLS,TGLS,Tecnoglass Inc. Ordinary Shares,NYSE, ,N,N,2076717037,Consumer Discretionary,Electronic Components
BOBS,BOBS,"Bob's Discount Furniture, Inc. Common Stock",NYSE, ,N,N,2066526829,Consumer Discretionary,Other Specialty Stores
CCS,CCS,"Century Communities, Inc. Common Stock",NYSE, ,N,N,2061608468,Consumer Discretionary,Homebuilding
WGS,WGS,GeneDx Holdings Corp. - Class A Common Stock,NASDAQ,Q,N,N,2038083054,Technology,Retail: Computer Software & Peripheral Equipment
TH,TH,Target Hospitality Corp. - Common Stock,NASDAQ,S,N,N,2027560088,Consumer Discretionary,Hotels/Resorts
BAND,BAND,Bandwidth Inc. - Class A Common Stock,NASDAQ,Q,N,N,2026695533,Technology,Computer Software: Prepackaged Software
DSC,DSC,DSC Holdings Ltd. - American Depositary Shares,NASDAQ,G,N,N,2013698567,Technology,Computer Software: Programming Data Processing
KSS,KSS,Kohl's Corporation Common Stock,NYSE, ,N,N,2009447876,Consumer Discretionary,Department/Specialty Retail Stores
ATEX,ATEX,Anterix Inc. - Common Stock,NASDAQ,S,N,N,2007172811,Telecommunications,Telecommunications Equipment
VPG,VPG,"Vishay Precision Group, Inc. Common Stock",NYSE, ,N,N,1993952910,Technology,Electrical Products
HAWK,HAWK,"HawkEye 360, Inc. Common Stock",NYSE, ,N,N,1980750573,Technology,EDP Services
AMSC,AMSC,American Superconductor Corporation - Common Stock,NASDAQ,Q,N,N,1979796412,Consumer Discretionary,Metal Fabrications
BRSL,BRSL,"Brightstar Lottery PLC Trading under the Legal Name to begin at the market open on July 21, 2025. Ordinary Shares",NYSE, ,N,N,1977840000,Consumer Discretionary,Services-Misc. Amusement & Recreation
ECO,ECO,Okeanis Eco Tankers Corp. Common Stock,NYSE, ,N,N,1956918109,Consumer Discretionary,Marine Transportation
WRD,WRD,WeRide Inc. - American Depositary Shares,NASDAQ,G,N,N,1951192685,Technology,EDP Services
INTA,INTA,"Intapp, Inc. - Common Stock",NASDAQ,Q,N,N,1942722810,Technology,Computer Software: Prepackaged Software
ALKT,ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ,Q,N,N,1939187433,Technology,Computer Software: Prepackaged Software
ZD,ZD,"Ziff Davis, Inc. - Common Stock",NASDAQ,Q,N,N,1929069898,Telecommunications,Telecommunications Equipment
FLOC,FLOC,Flowco Holdings Inc. Class A Common Stock,NYSE, ,N,N,1927971177,Consumer Discretionary,Oil and Gas Field Machinery
CDLR,CDLR,Cadeler A/S American Depositary Share (each representing four (4) Ordinary Shares),NYSE, ,N,N,1922370166,Consumer Discretionary,Marine Transportation
PRCH,PRCH,"Porch Group, Inc. - Common Stock",NASDAQ,S,N,N,1920840789,Technology,Computer Software: Prepackaged Software
VSTS,VSTS,Vestis Corporation Common Stock,NYSE, ,N,N,1918165791,Consumer Discretionary,Consumer Specialties
PLAB,PLAB,"Photronics, Inc. - Common Stock",NASDAQ,Q,N,N,1918089096,Technology,Semiconductors
COTY,COTY,Coty Inc. Class A Common Stock,NYSE, ,N,N,1901807506,Consumer Discretionary,Package Goods/Cosmetics
GT,GT,The Goodyear Tire & Rubber Company - Common Stock,NASDAQ,Q,N,N,1897094965,Consumer Discretionary,Automotive Aftermarket
OMCL,OMCL,"Omnicell, Inc. - Common Stock",NASDAQ,Q,N,N,1888284302,Technology,Computer Manufacturing
AMBQ,AMBQ,"Ambiq Micro, Inc. Common Stock",NYSE, ,N,N,1887479078,Technology,Semiconductors
XHR,XHR,"Xenia Hotels & Resorts, Inc. Common Stock",NYSE, ,N,N,1878125201,Consumer Discretionary,Hotels/Resorts
