Ticker,Security Name,Asset Class,Strategy,Theme,Geography,Category Flags
HDFCQUAL.NS,HDFCAMC-HDFCQUAL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCSENSEX.NS,HDFCAMC-HDFCSENSEX,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCSILVER.NS,HDFCAMC-HDFCSILVER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HDFCSML250.NS,HDFCAMC-HDFCSML250,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HEALTHADD.NS,DSPAMC-HEALTHADD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HEALTHIETF.NS,ICICIPRAMC-ICICIPHARM,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HEALTHY.NS,BIRLASLAMC-HEALTHY,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HNGSNGBEES.NS,NIPINDETFHANGSENGBEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
HSBCGOLD.NS,HSBCAMC - HSBCGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ICICIB22.NS,ICICIPRAMC-BHARATIWIN,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
INFRA.NS,MIRAEAMC - INFRA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
INFRABEES.NS,NIPINDETFINFRABEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
INFRAIETF.NS,ICICIPRAMC-ICICIINFRA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
IT.NS,KOTAKMAMC-KOTAKIT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITADD.NS,DSPAMC - DSPIT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITBEES.NS,NIPINDETFIT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITBETA.NS,UTIAMC -ITBETA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITETF.NS,MIRAEAMC-ITETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ITIETF.NS,ICICIPRAMC-ICICITECH,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
JETFREIGHT.NS,Jet Freight Logistics Limited,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
JUNIORBEES.NS,NIP IND ETF JUNIOR BEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LICMFGOLD.NS,LICMF LICGoldETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LICNETFGSC.NS,LICNAMC-LICNMFET,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LICNETFN50.NS,LICNAMC-LICNFENGP,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LICNETFSEN.NS,LICNAMC-LICNFESGP,Equity,ESG/Sustainable,Broad Market,India,Broad Market; ESG/Sustainable; Equity; India
LICNFNHGP.NS,LICNAMC-LICNFNHGP,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LICNMID100.NS,LICNAMC-LICNMID100,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQGRWBEES.NS,NIPPONAMC - LIQGRWBEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUID.NS,MIRAEAMC-LIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUID1.NS,KOTAKMAMC-KOTAKLIQ,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUIDADD.NS,DSPAMC-LIQUIDADD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUIDBEES.NS,NIPINDETFLIQUIDBEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUIDBETF.NS,BFAM-LIQUIDBETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUIDCASE.NS,ZERODHAAMC-LIQUIDCASE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUIDETF.NS,DSPAMC-LIQUIDETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUIDIETF.NS,ICICIPRAMC-ICICILIQ,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUIDPLUS.NS,MIRAEAMC - LIQUIDPLUS,Equity,Plain,Broad Market,United States,Broad Market; Equity; Plain; United States
LIQUIDSBI.NS,SBIAMC-LIQUIDSBI,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LIQUIDSHRI.NS,SHRIRAM - LIQUIDSHRI,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LOWVOL.NS,MIRAEAMC-MANV30F,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LOWVOL1.NS,KOTAKMAMC-KOTAKLOVOL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LTGILTBEES.NS,NIPINDETFLONGTERMGILT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
LTGILTCASE.NS,ZERODHAAMC - LTGILTCASE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MAFANG.NS,MIRAEAMC-MAFANG,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MAHKTECH.NS,MIRAEAMC-MAHKTECH,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MAKEINDIA.NS,MIRAEAMC-MAMFGETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MANUFGBEES.NS,NIPPONAMC - MANUFGBEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MASPTOP50.NS,MIRAEAMC-MASPTOP50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
METAL.NS,MIRAEAMC - METAL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
METALIETF.NS,ICICIPRAMC - METALIETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MID150.NS,KOTAKMAMC - MID150,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MID150BEES.NS,NIPINDETFMIDCAP150,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MID150CASE.NS,ZERODHAAMC-MID150CASE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MIDCAP.NS,KOTAKMAMC-KOTAKMID50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MIDCAPADD.NS,DSPAMC - MIDCAPADD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MIDCAPBETA.NS,UTIAMC-MIDCAPBETA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MIDCAPETF.NS,MIRAEAMC-MAM150ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MIDCAPIETF.NS,ICICIPRAMC-ICICIM150,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MIDQ50ADD.NS,DSPAMC-DSPQ50ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MIDSELIETF.NS,ICICIPruMidcapSelETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MIDSMALL.NS,MIRAEAMC-MIDSMALL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MNC.NS,KOTAKMAMC-KOTAKMNC,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOALPHA50.NS,MOTILALAMC - MOALPHA50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOCAPITAL.NS,MOTILALAMC - MOCAPITAL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MODEFENCE.NS,MOTILALAMC - MODEFENCE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOGOLD.NS,MOTILALAMC - MOGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOGSEC.NS,MOTILALAMC-G5,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOHEALTH.NS,MOTILALAMC-MOHEALTH,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOINFRA.NS,MOTILALAMC - MOINFRA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOIPO.NS,MOTILALAMC - MOIPO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOLOWVOL.NS,MOTILALAMC-MOLOWVOL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOM100.NS,MotilalOsMidcap100ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOM30IETF.NS,ICICIPRAMC-ICICIMOM30,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOM50.NS,MotilalOswalM50ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOMGF.NS,MOTILALAMC - MOMGF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOMIDMTM.NS,MOTILALAMC - MOMIDMTM,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOMNC.NS,MOTILALAMC - MOMNC,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MON50EQUAL.NS,MOTILALAMC - MON50EQUAL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MONEXT50.NS,MOTILALAMC - MONEXT50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MONQ50.NS,MOTILALAMC-MONQ50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOPSE.NS,MOTILALAMC - MOPSE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOQUALITY.NS,MOTILALAMC-MOQUALITY,Equity,Factor,Broad Market,India,Broad Market; Equity; Factor; India
MOREALTY.NS,MOTILALAMC-MOREALTY,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOSERVICE.NS,MOTILALAMC - MOSERVICE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOSILVER.NS,MOTILALAMC - MOSILVER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOSMALL250.NS,MOTILALAMC-MOSMALL250,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MOTOUR.NS,MOTILALAMC - MOTOUR,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
MULTICAP.NS,MIRAEAMC - MULTICAP,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NETF.NS,TATAAML-NETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NEXT30ADD.NS,DSPAMC - NEXT30ADD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NEXT50.NS,MIRAEAMC-MANXT50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NEXT50ADD.NS,DSPAMC - NEXT50ADD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NEXT50BETA.NS,UTIAMC -NEXT50BETA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NEXT50ETF.NS,KOTAKMAMC - NEXT50ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NEXT50IETF.NS,ICICIPRAMC-ICICINXT50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NPBET.NS,TATAAML-NPBET,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NV20.NS,KOTAKMAMC-KTKNV20ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NV20BEES.NS,NIPINDETFETFNV20,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
NV20IETF.NS,ICICIPruNV20ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
PVTBKGROWW.NS,GROWWAMC - PVTBKGROWW,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
QUAL30IETF.NS,ICICIPRAMC-ICICIQTY30,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
QUALITY30.NS,KOTAKMAMC - QUALITY30,Equity,Factor,Broad Market,India,Broad Market; Equity; Factor; India
SBIBPB.NS,SBIAMC - SBIBPB,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
SBIETFCON.NS,SBIAMC-SBIETFCON,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
SBIETFIT.NS,SBIAMC-SBIETFIT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
SBIETFPB.NS,SBIAMC-SBIETFPB,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
