Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
EBBETF0431.NS,XNSE:EBBETF0431,EDELAMC-EBBETF0431,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EBBETF0433.NS,XNSE:EBBETF0433,EDELAMC-EBBETF0433,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ECAPINSURE.NS,XNSE:ECAPINSURE,EDELAMC - ECAPINSURE,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EGOLD.NS,XNSE:EGOLD,EDELAMC-EGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ELIQUID.NS,XNSE:ELIQUID,EDELAMC - ELIQUID,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ELM250.NS,XNSE:ELM250,EDELAMC - ELM250,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EMULTIMQ.NS,XNSE:EMULTIMQ,EDELAMC - EMULTIMQ,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ENEXT50.NS,XNSE:ENEXT50,EDELAMC - ENEXT50,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EQUAL200.NS,XNSE:EQUAL200,MIRAEAMC - EQUAL200,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EQUAL50.NS,XNSE:EQUAL50,MIRAEAMC - EQUAL50,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EQUAL50ADD.NS,XNSE:EQUAL50ADD,DSPAMC-DSPNEWETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ESENSEX.NS,XNSE:ESENSEX,EDELAMC - ESENSEX,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ESG.NS,XNSE:ESG,MIRAEAMC-MAESGETF,NSE,ETF,Y,N,,,ETF,Equity,ESG/Sustainable,Broad Market,India,Broad Market; ESG/Sustainable; Equity; India
