Profile,Sector,Minimum_Score,Rows,D1_Positive,D1_Positive_Rate_Pct,D1_Mean_Return_Pct,D1_Median_Return_Pct,D5_Positive,D5_Positive_Rate_Pct,D5_Mean_Return_Pct,D5_Median_Return_Pct,D8_Positive,D8_Positive_Rate_Pct,D8_Mean_Return_Pct,D8_Median_Return_Pct
V3,Technology,25,74,50,67.56756756756756,0.9639809172639607,0.7856232381077799,48,64.86486486486487,1.7423059752949979,1.2787914584728832,41,55.4054054054054,1.407707950774454,0.8295884429438516
V3,Technology,30,45,28,62.22222222222222,0.8615164402375757,0.36085450982239475,28,62.22222222222222,0.9482589780423744,1.1518799675364955,25,55.55555555555556,0.7978207913690107,0.7149270923955342
V3,Technology,35,13,7,53.84615384615385,0.6505253171123263,0.8062975948882167,9,69.23076923076923,0.9699875180645241,0.9401256007440351,9,69.23076923076923,0.8531309693920804,1.016653759076691
V3,Technology,40,2,1,50.0,1.0265514664425157,1.0265514664425157,2,100.0,1.770532536366043,1.770532536366043,2,100.0,4.408553238902957,4.408553238902957
V3,Technology,45,1,0,0.0,-0.7771796242433293,-0.7771796242433293,1,100.0,2.6009394719880508,2.6009394719880508,1,100.0,7.248577000710488,7.248577000710488
V3,Industrials,5,150,73,48.666666666666664,0.1114576179546459,-0.055141839385342006,82,54.666666666666664,0.9525556635797146,0.628446020873985,82,54.666666666666664,1.1156422676718043,0.6635103357919281
V3,Industrials,10,143,70,48.95104895104895,0.15185202836710315,-0.04917832671619271,79,55.24475524475525,0.9675878290803499,0.7214668321956719,79,55.24475524475525,1.1643319986487335,0.7556028493103772
V3,Industrials,15,129,64,49.6124031007752,0.1716576300031326,-0.03432918915832195,70,54.263565891472865,1.0492939292432855,0.4777343178062665,70,54.263565891472865,1.1581357302829018,0.4368132054762608
V3,Industrials,20,116,56,48.275862068965516,0.1458466242158704,-0.06012319116336928,65,56.03448275862069,0.857220158945464,0.8467260077094307,65,56.03448275862069,0.9352312753784477,0.7055339680664408
V3,Industrials,25,83,40,48.19277108433735,0.006047483291916716,-0.04917832671619271,49,59.036144578313255,0.9236775737210184,1.0120714273463172,48,57.83132530120482,0.8490315332311547,0.8831684056537004
V3,Industrials,30,50,30,60.0,0.3748001285733198,0.49207587046018464,33,66.0,1.5764862968048445,1.1836438002832073,30,60.0,1.2904640945610149,1.0170491383159619
V3,Industrials,35,16,9,56.25,0.3081155526409793,0.344457195815695,12,75.0,2.835668840218672,1.2662529577892268,12,75.0,3.3527781083261883,2.646616661798995
V3,Industrials,40,3,1,33.333333333333336,-0.12783688137524654,-0.32914224734806874,2,66.66666666666667,0.7906664100240509,1.2375680196842431,3,100.0,3.7109834882957267,3.6434633915607417
