Profile,Sector,Exact_Score,Rows,D1_Positive,D1_Positive_Rate_Pct,D1_Mean_Return_Pct,D1_Median_Return_Pct,D5_Positive,D5_Positive_Rate_Pct,D5_Mean_Return_Pct,D5_Median_Return_Pct,D8_Positive,D8_Positive_Rate_Pct,D8_Mean_Return_Pct,D8_Median_Return_Pct
V1,Industrials,20,33,17,51.515151515151516,-0.017220953733204144,0.19686858897480786,18,54.54545454545455,0.9353821168705249,0.08636817025260424,20,60.60606060606061,1.407618977149659,0.9527611920214119
V1,Industrials,25,8,5,62.5,0.4751309357872907,0.59025012345989,7,87.5,2.771934086369966,2.4585157266549973,3,37.5,-0.8181052503940051,-1.3499038695136356
V1,Industrials,30,4,1,25.0,-0.12273047054741082,-0.21827674270598618,3,75.0,0.7124333869696048,0.8576511687452548,4,100.0,3.293703234541956,2.842662932420692
V2,ALL,-15,1,0,0.0,-3.378788226537832,-3.378788226537832,0,0.0,-16.834623384590543,-16.834623384590543,0,0.0,-9.425020907909209,-9.425020907909209
V2,ALL,-10,3,2,66.66666666666667,1.5532221631137286,1.5086500394251967,2,66.66666666666667,4.876251824782104,3.0490680192555963,2,66.66666666666667,4.694110884663364,2.1597595426191996
V2,ALL,-5,21,8,38.095238095238095,0.3150318656670132,-0.8095503623340661,12,57.142857142857146,-0.6032401064870526,1.3977211541099654,8,38.095238095238095,-1.8418465796922423,-1.0350776511555249
V2,ALL,0,23,14,60.869565217391305,1.1303627551022835,0.7351749735824642,12,52.17391304347826,1.1854430239962215,0.5498701725007438,14,60.869565217391305,1.4200462779439054,1.8595006582454277
V2,ALL,5,19,10,52.63157894736842,0.24143958992921538,0.027498133568126804,7,36.8421052631579,1.283263291990658,-0.8585301162078118,9,47.36842105263158,2.641717048092523,0.0
V2,ALL,10,69,36,52.17391304347826,0.09008952364585836,0.09280600846506282,36,52.17391304347826,1.1266460062505488,0.14367459755559864,36,52.17391304347826,2.189268299052613,1.2068912503837348
V2,ALL,15,69,40,57.971014492753625,0.6238028838881071,0.48528289878648767,38,55.072463768115945,1.233993999248058,0.9865883658023877,31,44.927536231884055,0.3744399451843,-0.6185494829289984
V2,ALL,20,69,45,65.21739130434783,0.6263993971385805,0.5125422424696602,45,65.21739130434783,1.5478260202324496,1.2229252301675153,44,63.768115942028984,1.7184343646861586,1.2658215623466695
V2,ALL,25,11,5,45.45454545454545,0.0676626817024951,-0.04917832671619271,9,81.81818181818181,2.0103571919370684,2.3036631115117556,5,45.45454545454545,-0.3649063288575818,-0.3686650008100534
V2,ALL,30,7,3,42.857142857142854,0.5349137089337327,-0.10741123806390362,6,85.71428571428571,1.1631459179498196,1.2375680196842431,7,100.0,3.7620746326889796,3.6434633915607417
V2,Technology,-15,1,0,0.0,-3.378788226537832,-3.378788226537832,0,0.0,-16.834623384590543,-16.834623384590543,0,0.0,-9.425020907909209,-9.425020907909209
V2,Technology,-10,1,1,100.0,6.309409553139345,6.309409553139345,1,100.0,13.569428839224296,13.569428839224296,1,100.0,18.95619362478427,18.95619362478427
V2,Technology,-5,15,5,33.333333333333336,0.467371052054597,-1.1403435536549766,7,46.666666666666664,-1.690384515898134,-1.1656272773554521,3,20.0,-3.6314295587265,-2.3526439138263577
V2,Technology,0,9,7,77.77777777777777,2.516052605463854,0.9316314528618141,7,77.77777777777777,4.688747502501069,3.920055243076037,8,88.88888888888889,4.523457651678125,2.425124251723565
V2,Technology,5,10,7,70.0,1.2217643116018362,0.7286059340130491,4,40.0,2.234271661205639,-1.5108547244148007,5,50.0,4.721091611796298,0.45171959050960275
V2,Technology,10,32,18,56.25,-0.04259982848387986,0.1001484123470564,15,46.875,0.5046213560783962,-0.19553002744171488,15,46.875,1.4131881476197619,-0.24216016060719103
V2,Technology,15,32,22,68.75,0.9476219191952673,1.020384843885258,19,59.375,1.8937044889387171,1.0533982683128995,13,40.625,0.7268550849583246,-1.3311229136076408
V2,Technology,20,36,28,77.77777777777777,1.2163847187710497,0.9859225677298467,27,75.0,2.1092329316475475,1.9255597568117566,24,66.66666666666667,2.00334846992795,2.342169333537647
V2,Technology,25,3,0,0.0,-1.0189193291902932,-0.9615329948400753,2,66.66666666666667,-0.020514526550659735,0.866234496546614,2,66.66666666666667,0.8436241285728804,1.016653759076691
V2,Technology,30,3,2,66.66666666666667,1.4117726149085907,2.182214911840741,3,100.0,1.7640959592567729,1.7512228050382328,3,100.0,4.386569830218345,4.342603012849122
V2,Industrials,-10,2,1,50.0,-0.8248715318990796,-0.8248715318990796,1,50.0,0.5296633175610077,0.5296633175610077,1,50.0,-2.4369304853970877,-2.4369304853970877
V2,Industrials,-5,6,3,50.0,-0.0658161003019464,-0.09193819808854253,5,83.33333333333333,2.1146209170406514,2.194668100167707,5,83.33333333333333,2.632110867893402,2.432492482200055
V2,Industrials,0,14,7,50.0,0.2395621370127023,0.08619903951702645,5,35.714285714285715,-1.0666812836140382,-0.842826050288481,6,42.857142857142854,-0.5750038908852355,-0.6341895223268779
