Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Market Region
MGR,MGR,"Affiliated Managers Group, Inc. 5.875% Junior Subordinated Notes due 2059",NYSE, ,N,N,577333120,Finance,Investment Managers,USA
MGRB,MGRB,"Affiliated Managers Group, Inc. 4.750% Junior Subordinated Notes due 2060",NYSE, ,N,N,479595623,Finance,Investment Managers,USA
MGRD,MGRD,"Affiliated Managers Group, Inc. 4.200% Junior Subordinated Notes due 2061",NYSE, ,N,N,429022151,Finance,Investment Managers,USA
MGRE,MGRE,"Affiliated Managers Group, Inc. 6.750% Junior Subordinated Notes due 2064",NYSE, ,N,N,649499760,Finance,Investment Managers,USA
MHD,MHD,"Blackrock MuniHoldings Fund, Inc. Common Stock",NYSE, ,N,N,1737545661,Finance,Investment Bankers/Brokers/Service,USA
MHF,MHF,"Western Asset Municipal High Income Fund, Inc. Common Stock",NYSE, ,N,N,0,Finance,Finance/Investors Services,USA
MHLA,MHLA,"Maiden Holdings, Ltd. 6.625% Notes due 2046",NYSE, ,N,N,81290402,Finance,Property-Casualty Insurers,USA
MHNC,MHNC,"Maiden Holdings North America, Ltd. 7.75% Notes due 2043",NYSE, ,N,N,90929121,Finance,Property-Casualty Insurers,USA
MIACU,MIACU,Meridian3 Industrials Acquisition Corp - Units,NASDAQ,G,N,N,0,,,USA
MIN,MIN,Aberdeen Intermediate Income Fund Common Shares of Beneficial Interest,NYSE, ,N,N,282648517,Finance,Trusts Except Educational Religious and Charitable,USA
MITN,MITN,"TPG Mortgage Investment Trust, Inc. 9.500% Senior Notes due 2029",NYSE, ,N,N,755318270,Real Estate,Real Estate Investment Trusts,USA
MITP,MITP,"TPG Mortgage Investment Trust, Inc. 9.500% Senior Notes due 2029",NYSE, ,N,N,754135601,Real Estate,Real Estate Investment Trusts,USA
MITT$A,MITT$A,"TPG Mortgage Investment Trust, Inc. 8.25% Series A Cumulative Redeemable Preferred Stock",NYSE, ,N,N,,,,USA
MITT$B,MITT$B,"TPG Mortgage Investment Trust, Inc. 8.00% Series B Cumulative Redeemable Preferred Stock",NYSE, ,N,N,,,,USA
MITT$C,MITT$C,"TPG Mortgage Investment Trust, Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NYSE, ,N,N,,,,USA
MIY,MIY,"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock",NYSE, ,N,N,1822340270,Finance,Investment Bankers/Brokers/Service,USA
MKDWW,MKDWW,MKDWELL Tech Inc. - Warrants,NASDAQ,S,N,N,41984,Technology,Consumer Electronics/Appliances,USA
MKLYR,MKLYR,McKinley Acquisition Corporation - Rights,NASDAQ,G,N,N,0,,,USA
