Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
RZLV,RZLV,Rezolve AI PLC - Ordinary Shares,Q,G,N,"1,03,70,14,674.00",,,Technology,Computer Software: Programming Data Processing
EVLV,EVLV,"Evolv Technologies Holdings, Inc. - Class A Common Stock",Q,S,N,"1,02,34,68,323.00",,,Technology,Computer peripheral equipment
UPWK,UPWK,Upwork Inc. - Common Stock,Q,Q,N,"1,01,59,36,677.00",,,Technology,EDP Services
LZ,LZ,"LegalZoom.com, Inc. - Common Stock",Q,Q,N,"1,01,01,47,091.00",,,Technology,EDP Services
YALA,YALA,"Yalla Group Limited American Depositary Shares, each representing one Class A Ordinary Share",N, ,N,"1,00,80,23,010.00",,,Technology,Computer Software: Programming Data Processing
INDI,INDI,"indie Semiconductor, Inc. - Class A Common Stock",Q,S,N,"99,27,03,854.00",,,Technology,Semiconductors
KOPN,KOPN,Kopin Corporation - Common Stock,Q,S,N,"98,31,96,666.00",,,Technology,Semiconductors
MRAM,MRAM,"Everspin Technologies, Inc. - Common Stock",Q,G,N,"93,22,75,662.00",,,Technology,Semiconductors
SHAZ,SHAZ,"SharonAI Holdings, Inc. - Class A Common Stock",Q,S,N,"92,08,34,209.00",,,Technology,EDP Services
MOMO,MOMO,Hello Group Inc.  - American Depositary Shares,Q,Q,N,"90,93,85,253.00",,,Technology,Computer Software: Prepackaged Software
SCSC,SCSC,"ScanSource, Inc. - Common Stock",Q,Q,N,"87,21,25,539.00",,,Technology,Retail: Computer Software & Peripheral Equipment
COUR,COUR,"Coursera, Inc. Common Stock",N, ,N,"86,69,87,192.00",,,Technology,Computer Software: Prepackaged Software
CRCT,CRCT,"Cricut, Inc. - Class A common stock",Q,Q,N,"86,05,84,399.00",,,Technology,Industrial Machinery/Components
GDRX,GDRX,"GoodRx Holdings, Inc. - Class A Common Stock",Q,Q,N,"84,83,81,809.00",,,Technology,EDP Services
AMPL,AMPL,"Amplitude, Inc. - Class A Common Stock",Q,S,N,"81,49,45,267.00",,,Technology,Computer Software: Prepackaged Software
UMAC,UMAC,"Unusual Machines, Inc. Common Stock",A, ,N,"80,77,45,221.00",,,Technology,Radio And Television Broadcasting And Communications Equipment
CRSR,CRSR,"Corsair Gaming, Inc. - Common Stock",Q,Q,N,"79,14,62,772.00",,,Technology,Computer peripheral equipment
NXDR,NXDR,"Nextdoor Holdings, Inc. Class A Common Stock",N, ,N,"79,07,69,309.00",,,Technology,Computer Software: Programming Data Processing
AZTA,AZTA,"Azenta, Inc. - Common Stock",Q,Q,N,"78,15,03,492.00",,,Technology,Industrial Machinery/Components
LPTH,LPTH,"LightPath Technologies, Inc. - Class A Common Stock",Q,S,N,"76,60,30,765.00",,,Technology,Semiconductors
SSYS,SSYS,"Stratasys, Ltd. - Common Stock",Q,Q,N,"74,66,85,050.00",,,Technology,Computer peripheral equipment
CERT,CERT,"Certara, Inc. - Common Stock",Q,Q,N,"74,35,98,826.00",,,Technology,Computer Software: Prepackaged Software
CGNT,CGNT,Cognyte Software Ltd. - Ordinary Shares,Q,Q,N,"69,22,38,471.00",,,Technology,Computer Software: Prepackaged Software
DSP,DSP,Viant Technology Inc. - common stock,Q,Q,N,"68,54,84,824.00",,,Technology,Computer Software: Programming Data Processing
LAES,LAES,SEALSQ Corp - Ordinary Shares,Q,Q,N,"67,61,19,087.00",,,Technology,Semiconductors
HSTM,HSTM,"HealthStream, Inc. - Common Stock",Q,Q,N,"66,78,59,198.00",,,Technology,Computer Software: Programming Data Processing
HUYA,HUYA,"HUYA Inc. American depositary shares, each  representing one Class A ordinary share",N, ,N,"66,16,58,556.00",,,Technology,Computer Software: Programming Data Processing
VTEX,VTEX,VTEX Class A Common Shares,N, ,N,"66,05,61,886.00",,,Technology,Computer Software: Prepackaged Software
MRLN,MRLN,"Merlin, Inc. - Common Stock",Q,G,N,"65,26,71,763.00",,,Technology,EDP Services
RDVT,RDVT,"Red Violet, Inc. - Common Stock ",Q,S,N,"64,61,88,582.00",,,Technology,Computer Software: Prepackaged Software
NABL,NABL,"N-able, Inc. Common Stock",N, ,N,"64,23,69,969.00",,,Technology,Computer Software: Prepackaged Software
SABR,SABR,Sabre Corporation - Common Stock,Q,Q,N,"64,06,84,222.00",,,Technology,Computer Software: Programming Data Processing
HQ,HQ,Horizon Quantum Holdings Ltd. - Class A Ordinary Shares,Q,S,N,"63,80,21,518.00",,,Technology,EDP Services
EVER,EVER,"EverQuote, Inc. - Class A Common Stock",Q,G,N,"62,53,99,555.00",,,Technology,Computer Software: Programming Data Processing
MITK,MITK,"Mitek Systems, Inc. - Common Stock",Q,S,N,"61,95,79,436.00",,,Technology,Computer peripheral equipment
EVGO,EVGO,EVgo Inc. - Common Stock,Q,Q,N,"61,51,64,355.00",,,Technology,EDP Services
KE,KE,"Kimball Electronics, Inc. - Common Stock",Q,Q,N,"60,60,32,910.00",,,Technology,Electrical Products
SSTK,SSTK,"Shutterstock, Inc. Common Stock",N, ,N,"59,64,41,657.00",,,Technology,EDP Services
CARS,CARS,Cars.com Inc. Common Stock ,N, ,N,"57,46,83,118.00",,,Technology,EDP Services
PD,PD,"PagerDuty, Inc. Common Stock",N, ,N,"57,11,05,214.00",,,Technology,Computer Software: Prepackaged Software
MTC,MTC,"MMTec, Inc. - Common Shares",Q,S,N,"55,32,10,290.00",,,Technology,Computer Software: Prepackaged Software
CCSI,CCSI,"Consensus Cloud Solutions, Inc. - Common Stock",Q,Q,N,"53,40,92,489.00",,,Technology,Computer Software: Prepackaged Software
NEXN,NEXN,Nexxen International Ltd. - Ordinary Shares,Q,G,N,"53,04,02,000.00",,,Technology,Computer Software: Programming Data Processing
IIIV,IIIV,"i3 Verticals, Inc. - Common Stock",Q,Q,N,"52,91,62,533.00",,,Technology,Computer Software: Prepackaged Software
OOMA,OOMA,"Ooma, Inc. Common Stock",N, ,N,"52,51,62,235.00",,,Technology,EDP Services
VELO,VELO,"Velo3D, Inc. - Common stock",Q,S,N,"52,17,14,758.00",,,Technology,Industrial Machinery/Components
GDYN,GDYN,"Grid Dynamics Holdings, Inc. - Class A Common Stock",Q,S,N,"52,14,08,447.00",,,Technology,Computer Software: Prepackaged Software
MFI,MFI,mF International Limited - Class A Ordinary Shares,Q,S,N,"51,65,66,645.00",,,Technology,EDP Services
