"Ticker","Symbol","Security Name","Listing Exchange","Market Category","ETF","MarketCap ","TrailingPE","ForwardPE","Sector","Industry"
"JBI","JBI","Janus International Group, Inc. Common Stock","N","","N","70,85,58,825.00","","","Industrials","Building Products"
"EH","EH","EHang Holdings Limited - ADS","Q","G","N","70,76,11,154.00","","","Industrials","Aerospace"
"SXC","SXC","SunCoke Energy, Inc. Common Stock","N","","N","68,00,98,382.00","","","Industrials","Steel/Iron Ore"
"PKE","PKE","Park Aerospace Corp. Common Stock","N","","N","67,74,75,139.00","","","Industrials","Military/Government/Technical"
"SWBI","SWBI","Smith & Wesson Brands, Inc. - Common Stock","Q","Q","N","67,67,49,861.00","","","Industrials","Ordnance And Accessories"
"HY","HY","Hyster-Yale, Inc. Class A common stock","N","","N","65,14,22,197.00","","","Industrials","Construction/Ag Equipment/Trucks"
"RGR","RGR","Sturm, Ruger & Company, Inc. Common Stock","N","","N","63,52,19,040.00","","","Industrials","Ordnance And Accessories"
"OXM","OXM","Oxford Industries, Inc. Common Stock","N","","N","60,68,12,625.00","","","Industrials","Garments and Clothing"
"ASIX","ASIX","AdvanSix Inc. Common Stock ","N","","N","59,37,72,768.00","","","Industrials","Major Chemicals"
"FEIM","FEIM","Frequency Electronics, Inc. - Common Stock","Q","G","N","58,54,96,237.00","","","Industrials","Electrical Products"
"SWIM","SWIM","Latham Group, Inc. - Common Stock","Q","Q","N","57,70,77,960.00","","","Industrials","Plastic Products"
"IPI","IPI","Intrepid Potash, Inc Common Stock","N","","N","57,60,08,326.00","","","Industrials","Mining & Quarrying of Nonmetallic Minerals (No Fuels)"
"MLAB","MLAB","Mesa Laboratories, Inc. - Common Stock","Q","Q","N","56,07,13,271.00","","","Industrials","Industrial Machinery/Components"
"MBUU","MBUU","Malibu Boats, Inc. - Common Stock","Q","G","N","54,78,73,779.00","","","Industrials","Marine Transportation"
"KRT","KRT","Karat Packaging Inc. - Common Stock","Q","Q","N","53,30,31,618.00","","","Industrials","Plastic Products"
"MEC","MEC","Mayville Engineering Company, Inc. Common Stock","N","","N","53,29,46,626.00","","","Industrials","Industrial Specialties"
"ASTL","ASTL","Algoma Steel Group Inc. - Common Shares","Q","G","N","53,14,89,707.00","","","Industrials","Steel/Iron Ore"
"IIIN","IIIN","Insteel Industries, Inc. Common Stock","N","","N","52,33,37,342.00","","","Industrials","Steel/Iron Ore"
"TWI","TWI","Titan International, Inc. (DE) Common Stock","N","","N","49,82,38,970.00","","","Industrials","Steel/Iron Ore"
"ELMT","ELMT","The Elmet Group Co. - Common Stock","Q","S","N","47,84,80,605.00","","","Industrials","Metal Fabrications"
"ADUR","ADUR","Aduro Clean Technologies Inc. - Common Stock","Q","S","N","47,53,52,578.00","","","Industrials","Major Chemicals"
