Ticker,Security Name,Asset Class,Strategy,Theme,Geography,Category Flags,Holding Count,Known Holding Weight %,Top Holdings,Weighted Sector Mix,Weighted Industry Mix,Holdings Classification Text,Holdings Classification Source
GROWWLIQID.NS,GROWWAMC - GROWWLIQID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWLOVOL.NS,GROWWAMC - GROWWLOVOL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWMC150.NS,GROWWAMC - GROWWMC150,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWMETAL.NS,GROWWAMC - GROWWMETAL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWMOM50.NS,GROWWAMC - GROWWMOM50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWN200.NS,GROWWAMC - GROWWN200,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWNET.NS,GROWWAMC - GROWWNET,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWNXT50.NS,GROWWAMC - GROWWNXT50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWPOWER.NS,GROWWAMC - GROWWPOWER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWPSE.NS,GROWWAMC - GROWWPSE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWPSUBK.NS,GROWWAMC - GROWWPSUBK,Equity,Plain,Broad Market,United Kingdom,Broad Market; Equity; Plain; United Kingdom,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWRAIL.NS,GROWWAMC - GROWWRAIL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWRLTY.NS,GROWWAMC - GROWWRLTY,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWSC250.NS,GROWWAMC - GROWWSC250,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GROWWSLVR.NS,GROWWAMC - GROWWSLVR,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GSEC10ABSL.NS,BIRLASLAMC - GSEC10ABSL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GSEC10IETF.NS,ICICIPRAMC-ICICI10GS,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GSEC10YEAR.NS,MIRAEAMC-MAGS813ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCBSE500.NS,HDFCAMC-HDFCBSE500,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCGOLD.NS,HDFCGoldETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCLIQUID.NS,HDFCAMC-HDFCLIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCLOWVOL.NS,HDFCAMC-HDFCLOWVOL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCMID150.NS,HDFCAMC-HDFCMID150,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCMOMENT.NS,HDFCAMC-HDFCMOMENT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCNEXT50.NS,HDFCAMC-HDFCNEXT50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCNIF100.NS,HDFCAMC-HDFCNIF100,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCNIFBAN.NS,HDFCAMC-HDFCNIFBAN,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCNIFIT.NS,HDFCAMC-HDFCNIFIT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCPSUBK.NS,HDFCAMCHDFCPSUBK,Equity,Plain,Broad Market,United Kingdom,Broad Market; Equity; Plain; United Kingdom,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCPVTBAN.NS,HDFCAMC-HDFCPVTBAN,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCQUAL.NS,HDFCAMC-HDFCQUAL,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCSENSEX.NS,HDFCAMC-HDFCSENSEX,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCSILVER.NS,HDFCAMC-HDFCSILVER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HDFCSML250.NS,HDFCAMC-HDFCSML250,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HEALTHADD.NS,DSPAMC-HEALTHADD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HEALTHAXIS.NS,AXISAMC-HEALTHAXIS,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HEALTHIETF.NS,ICICIPRAMC-ICICIPHARM,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HEALTHY.NS,BIRLASLAMC-HEALTHY,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HNGSNGBEES.NS,NIPINDETFHANGSENGBEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
HSBCGOLD.NS,HSBCAMC - HSBCGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ICICIB22.NS,ICICIPRAMC-BHARATIWIN,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
INFRA.NS,MIRAEAMC - INFRA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
INFRABEES.NS,NIPINDETFINFRABEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
INFRAIETF.NS,ICICIPRAMC-ICICIINFRA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
IT.NS,KOTAKMAMC-KOTAKIT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ITADD.NS,DSPAMC - DSPIT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ITAXIS.NS,AXISAMC-ITAXIS,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ITBEES.NS,NIPINDETFIT,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ITBETA.NS,UTIAMC -ITBETA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ITETF.NS,MIRAEAMC-ITETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ITIETF.NS,ICICIPRAMC-ICICITECH,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
IVZINGOLD.NS,InvescoIndiaGoldETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
JETFREIGHT.NS,Jet Freight Logistics Limited,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
JUNIORBEES.NS,NIP IND ETF JUNIOR BEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LICMFGOLD.NS,LICMF LICGoldETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LICNETFGSC.NS,LICNAMC-LICNMFET,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LICNETFN50.NS,LICNAMC-LICNFENGP,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LICNETFSEN.NS,LICNAMC-LICNFESGP,Equity,ESG/Sustainable,Broad Market,India,Broad Market; ESG/Sustainable; Equity; India,0,0.0,,,,,Yahoo ETF Top Holdings
LICNFNHGP.NS,LICNAMC-LICNFNHGP,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LICNMID100.NS,LICNAMC-LICNMID100,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LIQGRWBEES.NS,NIPPONAMC - LIQGRWBEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LIQUID.NS,MIRAEAMC-LIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LIQUID1.NS,KOTAKMAMC-KOTAKLIQ,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LIQUIDADD.NS,DSPAMC-LIQUIDADD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LIQUIDBEES.NS,NIPINDETFLIQUIDBEES,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LIQUIDBETF.NS,BFAM-LIQUIDBETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
LIQUIDCASE.NS,ZERODHAAMC-LIQUIDCASE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
