Holding Ticker,ETFs Holding This Stock
2377.TW,EPEM (3.3232%)
2382.TW,EFFE (3.7429%); EVLU (3.1968%); DEM (1.6002%)
2383.TW,EMSF (4.9189%); ADIV (3.8845%); MEMS (3.7232%); PJIO (3.7071%); FLTW (2.485%); GTEK (2.4841%); ASIA (2.4451%); EWT (2.3822%); MEM (2.131%); MEMX (2.0163%); FEM (1.7114%); EEMO (1.256%); ROAM (1.2448%); DEHP (1.0716%); DFSE (0.6095%)
2388.HK,EWH (4.5725%); ADIV (3.5248%); RODM (0.9773%)
2395.TW,SNSR (4.2657%)
2404.TW,PIE (3.4192%)
2408.TW,KEMQ (3.0913%); PIE (2.5078%); EEMS (0.9909%)
2409.TW,VIDI (1.0422%)
2412.TW,EEMV (1.2496%); ESGE (1.0898%); EELV (0.8377%)
2423.HK,KWEB (3.8984%)
