Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags,Holding Count,Known Holding Weight %,Top Holdings,Weighted Sector Mix,Weighted Industry Mix,Holdings Classification Text,Holdings Classification Source
EBBETF0431.NS,XNSE:EBBETF0431,EDELAMC-EBBETF0431,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EBBETF0433.NS,XNSE:EBBETF0433,EDELAMC-EBBETF0433,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ECAPINSURE.NS,XNSE:ECAPINSURE,EDELAMC - ECAPINSURE,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EGOLD.NS,XNSE:EGOLD,EDELAMC-EGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ELIQUID.NS,XNSE:ELIQUID,EDELAMC - ELIQUID,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ELM250.NS,XNSE:ELM250,EDELAMC - ELM250,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EMULTIMQ.NS,XNSE:EMULTIMQ,EDELAMC - EMULTIMQ,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ENEXT50.NS,XNSE:ENEXT50,EDELAMC - ENEXT50,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EQUAL200.NS,XNSE:EQUAL200,MIRAEAMC - EQUAL200,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EQUAL50.NS,XNSE:EQUAL50,MIRAEAMC - EQUAL50,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EQUAL50ADD.NS,XNSE:EQUAL50ADD,DSPAMC-DSPNEWETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ESENSEX.NS,XNSE:ESENSEX,EDELAMC - ESENSEX,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ESG.NS,XNSE:ESG,MIRAEAMC-MAESGETF,NSE,ETF,Y,N,,,ETF,Equity,ESG/Sustainable,Broad Market,India,Broad Market; ESG/Sustainable; Equity; India,0,0.0,,,,,Yahoo ETF Top Holdings
ESILVER.NS,XNSE:ESILVER,EDELAMC-Esilver,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EVIETF.NS,XNSE:EVIETF,ICICIPRAMC - EVIETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EVINDIA.NS,XNSE:EVINDIA,MIRAEAMC - EVINDIA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
FINIETF.NS,XNSE:FINIETF,ICICIPRAMC-ICICIFIN,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
FLEXIADD.NS,XNSE:FLEXIADD,DSPAMC - FLEXIADD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
FMCGADD.NS,XNSE:FMCGADD,DSPAMC - FMCGADD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
FMCGIETF.NS,XNSE:FMCGIETF,ICICIPRAMC-ICICIFMCG,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GILT10BETA.NS,XNSE:GILT10BETA,UTIAMC-GILT10BETA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GILT5BETA.NS,XNSE:GILT5BETA,UTIAMC-GILT5BETA,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GILT5YBEES.NS,XNSE:GILT5YBEES,RELCAPAMC-NETFGILT5Y,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
GOLD360.NS,XNSE:GOLD360,360ONEAMC - GOLD360,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
