Ticker,Symbol,ETF Name,Last Price,Change %,Volume,Average Volume 30D,AUM,Expense Ratio %,MTD %,1M %,3M %,6M %,YTD %,1Y %,Theme Option,Exchange,Type,Type Specs,Subtype
CBOE:GCOW,GCOW,Pacer Global Cash Cows Dividend ETF,45.91,-0.3689236111111148,98106,249718.56666666668,3344652775.0,0.6,,-0.1956521739130509,0.7903402854006574,10.254562920268963,10.5732177263969,21.61589403973509,Developed markets,CBOE,fund,['etf'],etf
AMEX:FNDC,FNDC,Schwab Fundamental International Small Equity ETF,49.6001,-0.6607250150210335,44766,302758.0,3073155000.0,0.39,,0.48642625607779216,4.048877700860071,9.468329287133072,10.443331106657762,22.802921515226537,Developed markets,AMEX,fund,['etf'],etf
AMEX:PXF,PXF,Invesco RAFI Developed Markets ex-U.S. ETF,78.3048,-0.7669496895197015,42059,85373.4,2958696000.0,0.43,,6.233618233618243,9.916900617630551,21.139851485148515,18.142426071213034,38.61710037174721,Developed markets,AMEX,fund,['etf'],etf
AMEX:DIVI,DIVI,Franklin International Core Dividend Tilt Index ETF,43.04,-0.6922011998154228,90218,144786.83333333334,2521634600.0,0.09,,2.9172644667623118,5.853418593212009,10.756562017498714,9.183155758498218,21.891815349759263,Developed markets,AMEX,fund,['etf'],etf
AMEX:EBND,EBND,State Street SPDR Bloomberg Emerging Markets Local Bond ETF,20.81,-0.6208213944603751,132667,293679.5333333333,2257613208.0,0.3,,-0.28749401054145796,-1.9321394910461835,-2.2086466165413645,-2.8024287716020617,-0.09601536245799124,Emerging markets,AMEX,fund,['etf'],etf
AMEX:HDEF,HDEF,Xtrackers MSCI EAFE High Dividend Yield Equity ETF,32.1505,-0.7394257486878654,89092,153633.1,2234112782.355,0.09,,-1.5600122473974147,-0.8618563058896045,5.307893874877169,3.013457225248318,11.905673512008356,Developed markets,AMEX,fund,['etf'],etf
AMEX:CGIE,CGIE,Capital Group International Equity ETF,36.45,-0.6811989100817438,236411,468532.4,2232496877.26,0.54,,3.1117397454031157,4.023972602739737,5.346820809248559,3.462957706500159,12.500000000000014,Developed markets,AMEX,fund,['etf'],etf
AMEX:IHDG,IHDG,WisdomTree International Hedged Quality Dividend Growth Fund,51.19,-0.6405279503105694,52886,156026.9,2222972850.0,0.58,,3.896894662066155,3.164046755340589,6.623620079150177,4.192957459800519,13.528498558438665,Developed markets,AMEX,fund,['etf'],etf
AMEX:XSOE,XSOE,WisdomTree Emerging Markets Ex-State Owned Enterprises Fund,49.74,-1.5829046299960372,84557,170012.93333333332,2214302800.0,0.32,,8.959474260679087,21.139795421334632,28.427575522850518,24.97487437185931,52.1566228204344,Emerging markets,AMEX,fund,['etf'],etf
AMEX:EMOP,EMOP,AB Emerging Markets Opportunities ETF,53.45,-0.9818451278251095,62163,124718.5,2166830215.627,0.7000000000000001,,7.523637095151885,18.173778465620178,32.262694249232915,24.418063314711365,52.48077230298742,Emerging markets,AMEX,fund,['etf'],etf
AMEX:XCEM,XCEM,Columbia EM Core ex-China ETF,52.875,-1.5912897822445502,80015,186589.86666666667,2042795505.0,0.16,,11.08193277310924,24.911410347271445,37.659463681333,35.368663594470036,65.54477144646211,Emerging markets,AMEX,fund,['etf'],etf
AMEX:DFEV,DFEV,Dimensional Emerging Markets Value ETF,43.6305,-1.377712477396031,118527,190033.3,2034470065.406,0.43,,8.641683266932274,20.39321192052979,30.24029850746268,27.5,53.08947368421052,Emerging markets,AMEX,fund,['etf'],etf
AMEX:PXH,PXH,Invesco RAFI Emerging Markets ETF,29.54,-1.434768101434767,110872,215776.43333333332,2018864300.0,0.47000000000000003,,3.034530868503653,9.447943682845501,12.576219512195125,12.576219512195125,31.757359500446018,Emerging markets,AMEX,fund,['etf'],etf
CBOE:EMGF,EMGF,iShares Emerging Markets Equity Factor ETF,74.975,-1.5042038885969655,219927,150584.8,1967007447.0,0.26,,9.006978772899089,21.220695230396107,29.089187327823684,27.248811948404605,51.189755999193366,Emerging markets,CBOE,fund,['etf'],etf
CBOE:ICOW,ICOW,Pacer Developed Markets International Cash Cows 100 ETF,45.3208,-0.6993865030674893,175077,189963.56666666668,1869832170.0,0.65,,2.698391117153854,7.7015209125475295,15.969293756397136,16.20717948717948,35.60981448234589,Developed markets,CBOE,fund,['etf'],etf
AMEX:DGS,DGS,WisdomTree Emerging Market SmallCap Fund,65.37,-1.3262167049567715,52765,44999.833333333336,1829972800.0,0.58,,2.092769014524447,7.163934426229516,14.004185559818627,13.43050494534097,22.922151184655895,Emerging markets,AMEX,fund,['etf'],etf
AMEX:HFXI,HFXI,NYLI FTSE International Equity Currency Neutral ETF,37.88,-0.4990806409246065,220152,261333.6,1810077074.0,0.2,,6.1956826464816395,9.733487833140206,16.374807987711232,14.892326357294522,29.548563611491126,Developed markets,AMEX,fund,['etf'],etf
AMEX:AVIV,AVIV,Avantis International Large Cap Value ETF,79.37,-0.7254534083802355,21960,256846.0,1775314140.0,0.25,,2.757638529259464,3.6974131173242726,12.72546513279365,10.543175487465192,27.93359123146358,Developed markets,AMEX,fund,['etf'],etf
NASDAQ:JEMA,JEMA,JPMorgan ActiveBuilders Emerging Markets Equity ETF,64.3087,-1.2344787867152933,94418,104730.0,1768670000.0,0.33,,8.00923748740343,20.90374130475654,27.369182016240835,28.565973610555773,58.6302417365565,Emerging markets,NASDAQ,fund,['etf'],etf
CBOE:GSWO,GSWO,Goldman Sachs ActiveBeta World Equity ETF,63.86,-0.7460366801367796,58976,78657.73333333334,1715526800.0,0.15,,4.261224489795917,8.310719131614652,10.656731935539765,10.217466344494309,18.357890834955057,Developed markets,CBOE,fund,['etf'],etf
AMEX:GEM,GEM,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,52.83,-1.5284249767008393,46951,91274.43333333333,1695427000.0,0.35000000000000003,,8.591983556012334,19.714479945615217,25.486935866983366,24.452296819787975,50.856653340948014,Emerging markets,AMEX,fund,['etf'],etf
AMEX:RODM,RODM,Hartford Multifactor Developed Markets (ex-US) ETF,41.1085,-0.05227327984440355,32880,110782.26666666666,1540035840.0,0.29,,0.9045164457535527,3.4436336185203755,12.134478996181132,10.328770799785296,21.264011799410035,Developed markets,AMEX,fund,['etf'],etf
AMEX:AVES,AVES,Avantis Emerging Markets Value ETF,67.9151,-1.3936842105263225,24199,69266.8,1485501604.0,0.36,,4.228207489257211,10.287593374472229,15.22751951136749,15.36453201970443,32.93227637502445,Emerging markets,AMEX,fund,['etf'],etf
AMEX:TOUS,TOUS,T. Rowe Price International Equity ETF,37.71,-0.684751119304709,62266,190723.1,1473237636.0,0.5,,4.228855721393038,5.217633928571421,9.336039431719335,8.020624462904626,19.52456418383518,Developed markets,AMEX,fund,['etf'],etf
